1,2,3,4,5,6,7,8,9,10,11,12,model_performance
0,1,1,1,0,1,1,1,0,1,1,1,0.82551692
0,0,1,1,0,1,0,0,1,1,0,1,0.816629005
0,1,0,1,0,1,0,1,0,1,0,0,0.745680204
1,1,0,0,1,1,1,1,1,0,1,0,0.480339184
0,0,1,0,1,0,1,0,0,1,1,0,0.549883847
1,1,1,1,1,1,1,0,0,1,0,1,0.924774644
0,1,0,0,0,0,0,0,0,1,1,1,0.354533918
0,1,1,1,1,1,1,1,1,1,0,1,0.920929058
1,0,0,1,0,0,1,1,1,0,1,1,0.750450902
1,1,0,0,1,1,0,0,1,1,1,0,0.481644485
1,1,1,0,0,1,1,0,0,1,0,0,0.470483373
1,1,1,1,1,0,0,1,1,0,0,1,0.924854916
1,1,0,0,0,1,1,1,0,1,0,1,0.358469527
0,0,1,0,1,1,1,1,0,1,1,0,0.549046716
0,1,0,1,0,1,0,0,0,0,0,0,0.745286473
0,1,1,1,0,1,0,1,0,0,0,0,0.82518454
1,1,1,1,0,1,0,0,0,0,1,1,0.833898735
1,0,0,0,0,1,0,1,0,1,1,0,0.355463118
1,0,1,1,1,0,0,0,0,0,1,0,0.918860998
1,0,0,0,0,1,1,0,0,1,0,1,0.352007056
1,0,1,1,1,0,0,0,0,1,1,0,0.918954499
1,1,0,1,0,0,0,0,1,1,0,1,0.757833005
0,1,0,1,0,1,0,0,0,1,1,0,0.746470183
1,1,1,0,1,1,1,1,0,1,1,1,0.562537322
1,0,1,1,1,1,0,0,1,0,1,1,0.918712348
1,1,0,0,1,0,0,1,1,1,1,0,0.481065772
1,1,0,1,0,0,0,0,0,1,1,1,0.757676048
0,0,0,0,0,1,1,1,1,1,0,1,0.317705372
0,0,1,0,1,1,0,1,0,0,0,0,0.549127238
0,0,0,1,1,1,1,1,0,0,0,1,0.841481995
0,0,0,1,1,1,1,1,0,0,0,1,0.841481995
0,1,0,0,0,1,1,1,1,0,0,1,0.354161443
0,0,1,0,0,1,1,0,1,1,0,0,0.45061682
0,0,0,0,1,1,0,0,1,0,1,0,0.465803423
0,1,0,0,0,1,1,0,0,0,1,1,0.352805124
1,1,1,1,0,1,0,1,0,0,0,1,0.83424401
0,0,0,0,0,1,1,0,1,1,0,1,0.318059829
1,0,0,0,0,1,1,0,0,0,1,1,0.35256722
0,1,1,0,1,0,0,0,0,0,1,1,0.55905371
1,1,0,1,1,0,1,0,0,0,0,0,0.855460815
1,0,1,0,0,0,0,0,1,0,0,1,0.461070351
1,1,0,0,1,0,1,1,1,0,0,1,0.481284373
0,1,0,1,0,1,0,0,0,0,0,1,0.744998716
0,1,0,0,0,1,1,1,1,0,0,0,0.345610099
0,1,0,1,0,0,1,0,1,1,1,1,0.748406771
0,0,0,0,0,0,0,1,1,0,1,0,0.29593398
0,1,0,1,1,1,1,0,1,1,1,1,0.852791322
1,0,1,0,1,1,0,0,0,1,1,1,0.556884016
1,1,0,0,1,1,0,1,1,1,0,1,0.481863967
1,0,0,0,0,0,0,1,0,1,1,0,0.353872504
1,1,0,0,1,1,0,1,0,1,0,1,0.48240027
0,0,0,0,0,1,0,0,0,0,0,0,0.323842915
1,1,0,1,1,1,0,0,1,1,1,1,0.8562219
1,1,1,0,1,0,1,0,1,1,1,0,0.561503376
0,1,0,0,1,1,1,0,1,0,0,0,0.470225347
1,0,1,1,1,1,1,1,0,1,1,1,0.919014302
1,1,0,1,0,1,1,1,0,1,0,0,0.757808836
0,0,1,1,1,0,1,1,0,0,1,1,0.913826143
1,0,0,1,0,0,0,1,0,0,0,1,0.750895705
1,1,1,1,0,1,1,0,1,1,0,1,0.833927704
1,0,1,1,1,1,0,1,1,1,0,1,0.918947918
1,0,0,1,1,1,1,0,1,1,1,0,0.847702739
0,0,1,0,0,1,1,0,1,1,1,1,0.452095519
0,0,1,0,1,1,1,0,0,1,1,1,0.550874481
1,0,1,1,1,0,1,0,1,0,1,1,0.918782833
1,0,0,1,0,0,1,0,1,0,0,1,0.751068719
0,0,0,1,1,1,1,1,0,0,0,0,0.84128897
1,0,1,1,1,0,1,0,1,1,1,0,0.918854868
0,1,0,0,0,0,1,1,0,1,1,1,0.35262367
1,1,0,1,1,1,0,1,1,1,0,0,0.856154232
1,1,1,0,1,1,0,0,0,0,1,0,0.562387228
1,0,0,0,1,0,1,1,0,1,0,0,0.475650729
1,1,1,1,1,0,1,1,0,1,0,0,0.924957768
1,0,0,1,1,0,0,1,1,0,1,1,0.84704373
1,1,0,0,0,0,0,0,1,1,1,1,0.359516491
0,0,1,1,0,1,1,0,0,0,0,1,0.816555108
1,1,1,1,1,1,0,0,0,1,1,1,0.924776365
1,0,0,1,1,1,1,1,1,0,1,0,0.846840517
0,1,0,1,0,1,1,0,0,0,1,1,0.748236281
0,0,0,0,0,1,1,0,0,0,0,0,0.309141547
0,0,0,1,0,1,0,0,1,0,1,1,0.722844078
0,1,0,0,1,1,0,1,0,1,0,0,0.471471772
1,0,0,1,0,0,1,0,0,0,0,0,0.750583546
0,0,1,1,0,1,0,0,0,0,0,1,0.816790717
0,1,1,1,0,1,1,1,1,1,0,1,0.825206915
0,1,1,0,0,1,1,0,0,0,0,1,0.46360035
1,1,0,0,0,0,1,0,0,0,1,1,0.35812698
0,1,0,0,0,0,1,0,0,1,1,1,0.352972035
1,1,1,1,1,1,1,0,1,0,1,1,0.924890249
1,1,0,0,0,1,0,0,1,0,1,0,0.357748331
0,0,1,1,1,0,0,1,1,1,0,1,0.91371672
0,1,0,0,1,1,1,1,1,0,0,0,0.469839885
1,0,1,0,1,0,0,1,0,1,1,1,0.557366681
1,0,0,0,0,0,1,0,0,1,0,0,0.346803163
1,1,1,0,0,0,1,0,1,1,1,1,0.47037222
0,1,0,1,0,1,1,0,1,0,1,1,0.748112215
0,0,1,1,0,1,1,1,1,0,0,0,0.816719741
1,1,0,0,1,1,0,0,0,0,0,1,0.482811455
0,1,1,1,0,1,0,0,1,1,1,0,0.825219209
0,1,1,1,1,1,0,1,1,1,1,0,0.920838674
0,1,0,1,0,0,0,0,0,0,1,0,0.74474221
1,1,0,1,0,1,0,0,0,1,1,0,0.757410169
0,0,1,0,1,0,0,0,1,1,0,1,0.55103407
0,0,1,0,0,1,0,1,1,1,1,0,0.450513868
0,1,0,1,1,1,1,1,0,0,1,0,0.852086913
0,1,0,0,0,0,0,1,0,1,1,1,0.35470973
1,1,0,1,1,1,1,1,0,0,1,0,0.855392527
1,1,1,1,1,0,1,0,0,1,1,1,0.924905742
1,0,0,0,0,0,1,1,0,0,1,1,0.351380251
1,0,0,1,0,1,1,0,1,1,0,1,0.751280587
0,0,0,1,1,1,1,0,1,0,0,1,0.841603366
0,0,1,1,1,0,0,0,0,1,1,0,0.913648357
1,1,0,1,1,1,0,0,1,1,1,0,0.856300647
0,0,0,0,0,1,1,0,0,1,1,0,0.305880645
1,1,1,0,1,1,1,0,0,1,1,1,0.562511545
1,0,1,1,0,0,1,0,1,0,0,1,0.827339549
0,1,0,1,0,1,1,0,0,0,1,1,0.748236281
0,1,1,0,1,1,0,1,1,0,0,1,0.558090463
1,0,1,1,0,0,1,0,1,1,1,0,0.827098552
1,0,1,0,0,0,0,1,0,0,1,1,0.462083083
0,1,1,1,1,1,0,1,0,1,0,0,0.920807033
0,1,0,1,0,1,1,0,0,1,1,0,0.748308407
0,1,0,0,0,1,1,0,1,1,0,0,0.345440555
1,1,0,0,0,1,1,1,1,1,0,0,0.356230241
0,0,0,1,1,1,0,0,1,0,1,1,0.841563378
1,0,0,0,0,1,1,0,1,1,0,0,0.348848631
0,0,1,0,1,0,0,1,1,0,1,1,0.550687287
1,0,1,1,1,0,1,0,0,0,1,0,0.918880255
1,1,0,0,1,1,0,0,0,0,0,0,0.481997851
1,0,0,0,1,1,1,1,1,1,0,1,0.476439274
0,0,1,1,0,1,1,0,0,0,1,0,0.816425366
1,0,0,0,1,0,0,1,0,1,1,0,0.476796933
0,0,0,1,1,1,1,1,1,0,1,1,0.841647669
0,0,1,0,1,0,1,0,0,1,0,1,0.550682834
0,0,0,1,0,1,0,0,0,1,0,1,0.732352087
0,0,1,1,0,0,0,0,1,0,1,0,0.81664194
1,0,1,1,0,0,1,1,0,0,0,0,0.82714599
0,1,0,1,1,1,1,0,0,1,1,0,0.852493025
0,0,0,0,0,0,1,0,0,0,1,1,0.315396734
1,0,0,0,1,0,1,0,1,0,0,1,0.476524695
1,0,0,1,0,0,1,0,0,0,0,1,0.750730524
1,0,0,0,1,1,0,0,1,0,0,0,0.477513748
0,1,0,0,0,0,0,1,0,0,0,0,0.343178116
1,1,1,1,0,1,0,0,0,0,1,0,0.833740333
